"school.name","town","pct.first.language.not.english","pct.students.with.disabilities","pct.economically.disadvantaged","pct.african.american","pct.asian","pct.hispanic","pct.white","pct.native.american","pct.native.hawaiian.pacific.islander","pct.multi.race.non.hispanic","pct.males","pct.females","average.teacher.salary","average.in.district.expenditures.per.pupil","pct.attending.college","sum.SAT","ratio.gender"
"Abington High","Abington",5.3,9.7,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4,74662,12050.39,75.8,1534,0.838235294117647
"Agawam High","Agawam",4.6,14.1,22.7,1.2,2.2,5.8,88.8,0,0.1,1.9,52,48,64769,13546.48,81.6,1485,1.08333333333333
"Amesbury High","Amesbury",2.9,17,14.6,1.3,1.2,4.2,90.7,0,0,2.5,53.5,46.5,77147,13001.25,72.6,1583,1.1505376344086
"Andover High","Andover",9.5,16.1,6.3,1.9,14.5,5,76.3,0.1,0,2.2,48.9,51.1,81211,14703.35,89.3,1709,0.956947162426614
"Arlington High","Arlington",12.4,11.1,10.3,4.1,10.7,5.7,75.6,0,0.2,3.7,49.1,50.9,66493,12316.61,85,1749,0.964636542239686
"Ashland High","Ashland",11.3,13.2,10.3,2,9,9.4,77.2,0.3,0,2.2,48.8,51.2,76355,12867.66,87.7,1655,0.953125
"Attleboro High","Attleboro",10.2,14.2,25.6,5.5,4.1,12.5,73.6,0.3,0.2,3.8,54.2,45.8,76386,12517.75,74.3,1488,1.18340611353712
"Auburn Senior High","Auburn",5.7,9.6,15.2,2.1,4.3,6.4,84,0.4,0,2.8,48.1,51.9,69481,13185.35,79.1,1470,0.926782273603083
"Avon Middle High School","Avon",7.2,16.3,23.8,37.3,5.6,4.7,48.3,0.6,0,3.4,48.3,51.4,67547,14046.54,87.8,1399,0.939688715953307
"Barnstable High","Hyannis",10.9,12.2,25.5,8.4,2.8,11.5,72.2,0.9,0.4,3.7,48.7,51.3,78757,14952.35,75.5,1507,0.949317738791423
"Bedford High","Bedford",9.6,16,7.8,7.8,11.4,6.4,68.7,0,0.6,5.2,50.6,49.4,79410,15697.93,91.5,1688,1.02429149797571
"Belchertown High","Belchertown",2.4,12,13.5,2,2,4.1,90.3,0.1,0.1,1.4,50.3,49.7,63183,12262.88,89.9,1619,1.01207243460765
"Bellingham High School","Bellingham",3,19.4,15.6,1.8,3.1,5.3,88.4,0.3,0,1.2,54.5,45.5,71691,12852.89,70.1,1513,1.1978021978022
"Belmont High","Belmont",16.5,5.7,6.5,4.6,16.8,3.5,69.9,0,0.1,5.2,46.9,53.1,85241,11689.27,86.2,1781,0.883239171374765
"Beverly High","Beverly",4.1,17.7,23.8,3,2.7,10.8,81.2,0,0.2,2.2,49.8,50.2,71078,12220.91,76.6,1551,0.99203187250996
"Billerica Memorial High School","Billerica",6.8,14.9,15.2,2.3,6.4,4.6,84.3,0.1,0.3,2,49.9,50.1,74345,14737.99,76.3,1577,0.996007984031936
"Another Course To College","Hyde Park",48,22,61.4,43,5.8,39.9,7.2,0.4,0.4,3.1,49.3,50.7,88790,19224.89,81.4,1179,0.972386587771203
